m.09gjxn	 people person education	m.02zd2b
m.04my2w7	 people person nationality	m.0cdbq
m.07tgn	 education educational institution students graduates	m.02r4j98
m.051l7j	 business company headquarters	m.01n7q
m.0xqf3	 location location containedby	m.0n5d1
m.06y57	 location location people born here	m.07yt0l
m.01z7mb	 people deceased person place of cremation	m.02_286
m.0465_	 influence influence node influenced by	m.0448r
m.03qpbs	 celebrities celebrity sexual relationships	m.01xyt7
m.0kqh5s	 business company headquarters	m.09f07
m.09kvv	 business employer employees	m.04cyzm
m.0f1nl	 education educational institution students graduates	m.02w3x1
m.06pwq	 education educational institution students graduates	m.02pv_d
m.031618	 tv tv regular personal appearance person	m.02nrqjz
m.0cl954	 education education student	m.027b43
m.01t3h6	 location location people born here	m.01x1lf
m.06mkj	 location location contains	m.05yqwc
m.0cwx_	 education education institution	m.03r61d
m.02pcysb	 education education student	m.0g8fs
m.03q0r1	 film film release date s	m.0chghy
m.0539pm	 people deceased person place of death	m.0y617
m.083q7	 business employment tenure person	m.01g7_r
m.01jsk6	 education educational institution students graduates	m.01nr63
m.04mhxx	 people person place lived	m.0k_p5
m.0fr0t	 location location people born here	m.05h3qm4
m.0lmgy	 location location contains	m.01bn85
m.0895t	 education education student	m.01cf5
m.0g_j0	 people person nationality	m.09c7w0
m.09r12	 base biblioness bibs location state	m.05k7sb
m.02_286	 location place with neighborhoods neighborhoods	m.0fckz7
m.07h34	 location location contains	m.0_tn5
m.023jy9	 influence influence node influenced	m.0g72r
m.03_jy4	 celebrities romantic relationship celebrity	m.0mdqp
m.08ry9y	 people person place of birth	m.0h7h6
m.05tbn	 location mailing address state province region	m.01jtp7
m.012hsb	 base schemastaging athlete extra salary	m.0713r
m.03ksy	 education education institution	m.018jnn
m.01xmn3	 people person education	m.03ksy
m.05zwl4	 celebrities friendship friend	m.07ldhs
m.015mtr	 base schemastaging organization extra phone number	m.0345h
m.0prjs	 people marriage spouse	m.0159h6
m.06rsw3	 people person ethnicity	m.0x67
m.04j_k_	 people person employment history	m.07s52
m.0d05q4	 location location contains	m.0p4c
m.05fkf	 location location contains	m.0yk05
m.0877pg	 influence influence node influenced by	m.01dvtx
m.09c7w0	 film film regional release date film release region	m.0cf08
m.03v1s	 location location contains	m.03cg7jh
m.0dv3x	 exhibitions exhibition run sponsor	m.02vqw3
m.0jrqq	 people person education	m.04b_46
m.037p_w	 education educational institution campus educational institution	m.037p_w
m.01n7q	 location mailing address citytown	m.06qkrz
m.083ww4	 baseball baseball player batting stats	m.07l8x
m.03c24pk	 people person education	m.07t90
m.040_9	 influence influence node influenced	m.01v_0b
m.015q1n	 education education institution	m.07dqsy
m.0928l6	 base popstra celebrity insult perpetrator	m.0p17j
m.0k33p	 location location people born here	m.01nn6c
m.01vs5c	 education educational institution students graduates	m.017149
m.02zv09	 people person nationality	m.0chghy
m.05ymsb	 people person nationality	m.09c7w0
m.04s5sk	 sports sports team owner teams owned	m.0jm4b
m.0465_	 influence influence node influenced	m.084nh
m.03wjj	 location location containedby	m.06q1r
m.08815	 education educational institution students graduates	m.0ggks5
m.01s9vw	 people person place of birth	m.0vzm
m.03c9x48	 people marriage spouse	m.02fhw
m.03n84	 people deceased person place of death	m.09f07
m.07n3dp	 sports pro athlete teams	m.02__x
m.01mpwj	 education educational institution students graduates	m.04h0k_
m.05kkh	 location location contains	m.0y_q_
m.0g2gjz	 people person place lived	m.05kkh
m.04rpky	 sports drafted athlete drafted	m.07vyf
m.01sl3b	 people person place lived	m.0105y2
m.09c7w0	 location location contains	m.048q5zb
m.0773wj	 people person education	m.06pwq
m.0dzf_	 influence influence node influenced	m.01tlpz
m.0b4cpq	 people person place of birth	m.0s61l
m.0g824	 base popstra celebrity dated	m.0677ng
m.01d_8r	 business company board membership organization	m.06slz5
m.03q45x	 base saturdaynightlive snl season tenure cast members	m.0pz7h
m.073tm9	 music record label artist	m.043zg
m.07vk2	 education education institution	m.03bkpx
m.01f5q5	 people person place lived	m.030qb3t
m.0d331	 location capital of administrative division capital of	m.017wh
m.0k6nt	 film film regional release date film release region	m.011ywj
m.04ych	 location mailing address citytown	m.018405
m.01znc_	 film film regional release date film release region	m.011yqc
m.025xxp	 government government position held office holder	m.0157m
m.0154j	 film film regional release date film release region	m.0k5g9
m.0cykn_	 people person nationality	m.09c7w0
m.054lky	 people person nationality	m.09c7w0
m.037rnd	 people person employment history	m.05qb8k
m.05trb8	 people person place lived	m.0f2v0
m.0x0d	 sports professional sports team draft picks	m.0dd8yp
m.0l4qb	 business company headquarters	m.09c7w0
m.015sxw	 business company member member of	m.015g1w
m.03z19	 organization non profit registration registering agency	m.06rkfs
m.01q_ph	 base popstra celebrity dated	m.06rgq
m.079ltnj	 people person employment history	m.02858gq
m.0ggmd8	 sports drafted athlete drafted	m.01pl14
m.02k1b	 government government position held jurisdiction of office	m.05vmjy
m.08qmfm	 education education student	m.01qrb2
m.03_80b	 people person place of birth	m.04vmp
m.017j69	 education education institution	m.02qgxcn
m.0g_0rq	 people person nationality	m.09c7w0
m.049z3q7	 location location containedby	m.050ks
m.062qp9	 people person education	m.018405
m.04cc1	 government politician government positions held	m.0h7x
m.07ssc	 location location contains	m.013vz2
m.0cj03z	 people person employment history	m.0146mv
m.02pvmqg	 business company relationship parent	m.018p5f
m.01z7_f	 education education student	m.0ks67
m.01626g	 people deceased person place of death	m.094jv
m.011__n	 location location containedby	m.0d060g
m.0411qdm	 sports sports team roster player	m.0j5m6
m.0cwx_	 education educational institution students graduates	m.0391v
m.0chghy	 location mailing address country	m.0bzhdq
m.09c7w0	 location mailing address country	m.01hy7c
m.01lkxt	 location location containedby	m.0d05w3
m.015klf	 people person education	m.09kvv
m.068bb_	 people person nationality	m.09c7w0
m.0f8l9c	 location location contains	m.0668bj
m.04tkk6	 people person education	m.07tds
m.01y49	 sports sports team roster team	m.04lh40
m.0p__s	 baseball baseball player batting stats	m.0cqt41
m.067t0p	 basketball basketball player player statistics	m.0jmj7
m.0b90_r	 people place lived location	m.01l8slj
m.025v3k	 education education institution	m.04gj7rc
m.0nz_b	 location location contains	m.048tv2x
m.02vlpg	 sports sports team roster player	m.05g76
m.026vhm4	 people person nationality	m.07ssc
m.0gckl	 people deceased person place of burial	m.050ks
m.0vmt	 government government position held district represented	m.01y0mp
m.0cf71q	 people person education	m.03ksy
m.09c7w0	 location location contains	m.0491cs_
m.06fq2	 education education institution	m.0d14f4
m.052b0f	 sports pro athlete teams	m.0487_
m.027g741	 sports pro athlete teams	m.0jmgb
m.015q1n	 location location containedby	m.09c7w0
m.0pwb	 symbols name source namesakes	m.0gzh
m.01q8vl	 people person nationality	m.09c7w0
m.03b_yxf	 people person place lived	m.03_3d
m.02cl1	 location location people born here	m.08vb_5
m.0824r	 people place lived location	m.078bbg
m.0kqj31	 film film film distributor relationship distributor	m.05sns6
m.09k9_8	 people person place of birth	m.0129py
m.01bcwk	 business company headquarters	m.0chghy
m.083q7	 business employment tenure person	m.01k2wn
m.05cl0r	 people person place lived	m.050l8
m.08k5q6	 education education student	m.04_j5s
m.0c1j_	 base popstra celebrity friendship	m.01s3kv
m.09rkd	 book periodical publisher	m.02fxl7
m.07l4z	 sports sports league draft pick team	m.01thgd
m.01zrl7	 people person nationality	m.06qd3
m.0320jz	 base popstra dated participant	m.02hhtj
m.08mw32	 people person ethnicity	m.0x67
m.01trtc	 music record label artist	m.01r27_w
m.0fvlrg	 base schemastaging athlete extra salary	m.05tfm
m.044mt0	 soccer football player stats player	m.0ytc
m.0xmzp	 location hud county place place	m.0xmzp
m.0d8zt	 location location containedby	m.03rjj
m.07pgw2	 sports sports league draft pick player	m.0jmmn
m.0gxxg6	 education education student	m.02bqy
m.012w05	 people person nationality	m.06t8v
m.019_1h	 people person education	m.02w6bq
m.02jx1	 location location contains	m.0235n9
m.01sk12	 people person ethnicity	m.0x67
m.04wn3k	 people person nationality	m.0k6nt
m.029q06	 people person nationality	m.09c7w0
m.08_0b5	 people person education	m.02fgdx
m.0fs9j	 base firsts first achievement first	m.0x67
m.0kqj1	 education education institution	m.03kth6
m.06tjlc	 people person nationality	m.09c7w0
m.012fvq	 education education institution	m.054gjf
m.0dhtj	 people person nationality	m.09c7w0
m.0xnvx	 location location containedby	m.02jx1
m.0rmby	 location administrative division capital relationship capital	m.0jrjb
m.05k7sb	 location location contains	m.01vr07
m.026670	 influence influence node influenced by	m.0507vd
m.07b_l	 location location contains	m.013mcd
m.02_286	 people place lived location	m.049_zz
m.0b1vcc	 people person place of birth	m.01wphr
m.0152n0	 olympics olympic athlete affiliation sport	m.0d060g
m.01v72r	 business company headquarters	m.059rby
m.09x62f	 education education student	m.01vg13
m.09k7_v	 people person employment history	m.0cwx_
m.08t90s	 people appointee position	m.02mjmr
m.0204ym	 people person education	m.02bq1j
m.0fbbjt	 people person nationality	m.09c7w0
m.01gct2	 olympics olympic athlete medals won	m.01sg7_
m.0c2tf	 base popstra dated participant	m.0261c5g
m.01l2fn	 base popstra celebrity shops at	m.03kgz4
m.07vw5	 influence influence node influenced by	m.0ky1
m.0168nq	 business company board membership organization	m.03wp2yv
m.0n2m7	 location us county county seat	m.01smm
m.0fgg4	 people person education	m.08815
m.01ptt7	 education education institution	m.04406j
m.01cszh	 music record label artist	m.012vd6
m.04zwc	 location location containedby	m.05fly
m.014b7s	 people person nationality	m.09c7w0
m.039ch_	 business company relationship child	m.03bnb
m.04nprb	 people person nationality	m.09c7w0
m.01fmdk	 olympics olympic medal honor medalist	m.01gct2
m.01x73	 location administrative division capital	m.0f1sm
m.02vb0r	 location location containedby	m.0qf5p
m.01y3c	 sports sports team roster team	m.09k147
m.078n8b	 business company headquarters	m.05v8c
m.01p4qt3	 people person place of birth	m.0chgzm
m.09c7w0	 olympics olympic athlete affiliation country	m.0152n0
m.04ykg	 location location contains	m.02rr8b
m.06y931	 base schemastaging organization extra phone number	m.02j71
m.02w2z76	 people person nationality	m.09c7w0
m.051r7g	 basketball basketball player player statistics	m.0bwjj
m.0hptm	 location location people born here	m.0lrh
m.04zb1_	 film film release date s	m.09c7w0
m.0xkyn	 location location people born here	m.06hq4f
m.02r21pp	 people person education	m.06pwq
m.0fjlq4	 people deceased person place of death	m.0dr31
m.01mljp	 location location containedby	m.09c7w0
m.01wphr	 location location people born here	m.06662b
m.05pxwh	 people person place of birth	m.0r62v
m.03h8cd	 people person education	m.015q1n
m.09c7w0	 location location contains	m.048sdd0
m.03s5rv	 olympics olympic athlete medals won	m.09c7w0
m.09c7w0	 location mailing address country	m.02mwrv
m.017cy9	 education education institution	m.037mh8
m.040db	 influence influence node influenced by	m.02lt8
m.08815	 education educational institution students graduates	m.067fxy
m.02z3wk	 location location adjoin s	m.02m4d
m.0fkt1v	 people person nationality	m.06qd3
m.04shbh	 base popstra celebrity friendship	m.01pcvn
m.02s2ss	 people person employment history	m.04sylm
m.03ksy	 education educational institution students graduates	m.0f0z7_
m.06yxd	 location location contains	m.04bpryk
m.01zm1wh	 location location containedby	m.0l35f
m.02034d	 education educational institution campus educational institution	m.02034d
m.0yc9m	 people place lived location	m.0f2tmz
m.0cr3d	 location location people born here	m.02d10t
m.04135	 people marriage spouse	m.01vgxq
m.01x73	 people place lived location	m.03rsk7
m.03qv21	 olympics olympic athlete affiliation athlete	m.0d060g
m.0blbd	 travel tourist attraction near travel destination	m.016zwt
m.06t2t	 film film regional release date film release region	m.05pdh86
m.01r_5z	 people person nationality	m.09c7w0
m.061xq	 baseball batting statistics team	m.03yy0y
m.097qj4	 education education student	m.014zws
m.016jcm	 music artist label	m.011k11
m.06jcc	 influence influence node influenced	m.0317v_
m.0xkq4	 location location people born here	m.06pmmx
m.0f5m5s	 people person education	m.01yx1b
m.0nv_1	 location location contains	m.0s2sj
m.02rkktx	 people person nationality	m.09c7w0
m.01bm_	 education education institution	m.0kshpx
m.0chghy	 location location contains	m.0237vw
m.01wp8w7	 people person religion	m.0n2g
m.01kmwj	 military military service military person	m.07wh1
m.0fqjhm	 base popstra breakup participant	m.06_bq1
m.0vcdc	 location location adjoin s	m.02dtg
m.0488g	 location statistical region religions	m.019cr
m.0b_xq_	 basketball basketball player player statistics	m.0jm64
m.0d0ht9	 architecture museum address	m.0fwc0
m.06nrt	 location location contains	m.03mc0jf
m.03_3d	 location country capital	m.07dfk
m.01l1hr	 education education student	m.04b_46
m.010qg7	 location location containedby	m.081yw
m.0bhspr	 sports drafted athlete drafted	m.05g49
m.016_mj	 base popstra friendship participant	m.0133gf
m.02szmg	 people person education	m.05zl0
m.0286q0	 people person nationality	m.02jx1
m.071682	 business employment tenure person	m.03pnt_
m.07ymr5	 people person education	m.04b_46
m.026s7l	 people person place lived	m.0f__1
m.0rjks	 location location containedby	m.02xry
m.01csvq	 people person nationality	m.09c7w0
m.0ws7	 sports sports team roster	m.06vgq3
m.01z9th	 sports sports league draft pick player	m.02__x
m.02h6fbs	 people profession people with this profession	m.04vf6k
m.029_19	 people person education	m.01qwb5
m.05l_84	 business company relationship child	m.04663dl
m.05c01h	 base popstra breakup participant	m.025b5y
m.08_hcj	 olympics olympic athlete medals won	m.09c7w0
